일시,월,일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),합계 일조시간(hr),합계 일사량(MJ/m2),일 최심신적설(cm),평균 전운량(1/10),평균 지면온도(°C),0
2013-01-01,0.0,0.017593643586833147,0.5,0.6788766788766789,0.07621951219512196,0.9813011297234127,0.33576642335766427,0.18707372523546606,0.5444444444444445,0.8300000000000001,0.1497975708502024,0.20987654320987653
2013-01-02,0.0,0.0,0.65625,0.2796092796092796,0.009146341463414635,0.9937670432411376,0.6642335766423358,0.31243910360506655,0.0,0.03,0.15182186234817813,0.06584362139917696
2013-01-03,0.0,0.0,0.4375,0.30402930402930395,0.006097560975609758,0.9992208804051422,0.6642335766423358,0.3176355959727184,0.0,0.0,0.11538461538461536,0.034979423868312765
2013-01-04,0.0,0.0,0.28125,0.3223443223443223,0.015243902439024393,0.9945461628359955,0.6715328467153285,0.3098408574212406,0.0,0.0,0.11133603238866395,0.08641975308641975
2013-01-05,0.0,0.0,0.359375,0.5067155067155067,0.045731707317073184,0.9888975457732763,0.5474452554744527,0.2627476453393959,0.0,0.22999999999999998,0.1255060728744939,0.1625514403292181
2013-01-06,0.0,0.0,0.296875,0.5067155067155067,0.045731707317073184,0.9888975457732763,0.5985401459854015,0.258850276063657,0.0,0.13999999999999999,0.13157894736842105,0.17695473251028807
2013-01-07,0.0,0.0,0.265625,0.4358974358974359,0.045731707317073184,0.9880210362290612,0.4233576642335767,0.25332900292302696,0.0,0.66,0.13562753036437245,0.20164609053497942
2013-01-08,0.0,0.0,0.34375,0.43345543345543347,0.04878048780487805,0.9885079859758474,0.5839416058394161,0.27768756089639496,0.0,0.24,0.13562753036437245,0.2119341563786008
2013-01-09,0.0,0.0,0.46875,0.2515262515262515,0.015243902439024393,0.9899688352162058,0.6788321167883213,0.32705423838908737,0.0,0.0,0.11133603238866395,0.12139917695473251
2013-01-10,0.0,0.0,0.359375,0.2857142857142857,0.018292682926829274,0.9932800934943514,0.6642335766423358,0.31633647288080546,0.0,0.05,0.0991902834008097,0.13580246913580243
2013-01-11,0.0,0.0,0.359375,0.3980463980463981,0.05487804878048781,0.9917218543046358,0.44525547445255476,0.24423514127963622,0.0,0.66,0.13765182186234814,0.24074074074074073
2013-01-12,0.0,0.0005675368898978435,0.390625,0.6361416361416361,0.10975609756097561,0.9875340864822751,0.23357664233576647,0.1841506982786619,0.011111111111111112,0.58,0.1720647773279352,0.3065843621399177
2013-01-13,0.0,0.0,0.25,0.5824175824175823,0.09451219512195122,0.9870471367354889,0.043795620437956206,0.1873985060084443,0.0,0.5900000000000001,0.15991902834008095,0.2962962962962963
2013-01-14,0.0,0.0,0.34375,0.5335775335775336,0.07621951219512196,0.9842228282041294,0.3284671532846716,0.19129587528418315,0.0,0.1,0.13157894736842105,0.2633744855967078
2013-01-15,0.0,0.0,0.3125,0.4774114774114774,0.0701219512195122,0.9878262563303467,0.29927007299270075,0.22312439103605067,0.0,0.45,0.12753036437246962,0.2633744855967078
2013-01-16,0.0,0.0017026106696935302,0.375,0.564102564102564,0.07926829268292683,0.9868523568367745,0.29197080291970806,0.16758687885677168,0.05555555555555555,0.6400000000000001,0.15182186234817813,0.25308641975308643
2013-01-17,0.0,0.0,0.4375,0.5494505494505494,0.05487804878048781,0.9917218543046358,0.5328467153284672,0.258850276063657,0.0,0.13,0.10323886639676112,0.18724279835390945
2013-01-18,0.0,0.0,0.3125,0.4151404151404151,0.04878048780487805,0.9927931437475653,0.6788321167883213,0.3179603767456966,0.0,0.21000000000000002,0.0951417004048583,0.21604938271604937
2013-01-19,0.0,0.0,0.3125,0.5128205128205128,0.09451219512195122,0.9917218543046358,0.4744525547445256,0.2513803182851575,0.0,0.43,0.1761133603238866,0.3168724279835391
2013-01-20,0.0,0.0,0.484375,0.46275946275946267,0.09146341463414635,0.9933774834437087,0.02919708029197081,0.17927898668398828,0.0,0.75,0.18421052631578944,0.3395061728395062
2013-01-21,0.0,0.09364358683314417,0.671875,0.8021978021978021,0.1585365853658537,0.9841254382547722,0.0,0.031503734978889246,0.0,1.0,0.20040485829959512,0.35185185185185186
2013-01-22,0.0,0.002837684449489217,0.34375,0.6886446886446886,0.1585365853658537,0.9838332684067006,0.0,0.13510880155894772,0.0,0.91,0.2226720647773279,0.3847736625514403
2013-01-23,0.0,0.008513053348467652,0.484375,0.7631257631257632,0.14939024390243905,0.9817880794701987,0.0,0.02890548879506333,0.0,0.9400000000000001,0.20647773279352225,0.3436213991769547
2013-01-24,0.0,0.0005675368898978435,0.671875,0.4847374847374848,0.08841463414634147,0.9796455005843397,0.17518248175182483,0.11432283208834036,0.03333333333333333,0.58,0.19028340080971656,0.2880658436213992
2013-01-25,0.0,0.0,0.734375,0.23931623931623933,0.015243902439024393,0.9849045578496299,0.6934306569343066,0.3657031503734979,0.0,0.0,0.11943319838056679,0.11934156378600824
2013-01-26,0.0,0.0,0.546875,0.23321123321123324,0.01219512195121952,0.986170627191274,0.7007299270072993,0.3660279311464761,0.0,0.0,0.06882591093117407,0.11728395061728394
2013-01-27,0.0,0.0,0.40625,0.3296703296703296,0.02743902439024391,0.9881184261784185,0.6934306569343066,0.35401104254628124,0.0,0.05,0.07894736842105261,0.15637860082304525
2013-01-28,0.0,0.0,0.328125,0.4652014652014652,0.060975609756097573,0.9895792754187769,0.27007299270073,0.19616758687885677,0.0,0.6000000000000001,0.10728744939271254,0.2345679012345679
2013-01-29,0.0,0.0,0.421875,0.5567765567765568,0.11890243902439025,0.9892871055707051,0.0,0.058460539136083144,0.0,0.96,0.1963562753036437,0.35185185185185186
2013-01-30,0.0,0.0,0.328125,0.6214896214896215,0.16463414634146342,0.9923061940007792,0.051094890510948905,0.15102305943488145,0.0,0.79,0.21255060728744937,0.4176954732510288
2013-01-31,0.0,0.0,0.453125,0.5079365079365079,0.16158536585365857,0.9923061940007792,0.46715328467153294,0.24196167586878856,0.0,0.66,0.24493927125506068,0.45884773662551437
2013-02-01,0.09090909090909091,0.26390465380249717,0.578125,0.8290598290598291,0.24390243902439027,0.9808141799766266,0.0,0.02078596947060734,0.0,0.9500000000000001,0.28744939271255054,0.45679012345679015
2013-02-02,0.09090909090909091,0.0,0.640625,0.41758241758241765,0.0701219512195122,0.9899688352162058,0.6861313868613139,0.39590776226047414,0.0,0.21000000000000002,0.2226720647773279,0.2839506172839506
2013-02-03,0.09090909090909091,0.04256526674233826,0.421875,0.5421245421245421,0.07317073170731708,0.9883132060771329,0.014598540145985404,0.08769080870412473,1.0,0.79,0.1740890688259109,0.24074074074074073
2013-02-04,0.09090909090909091,0.041997729852440414,0.40625,0.7228327228327227,0.11585365853658537,0.9837358784573433,0.44525547445255476,0.26567067229620006,0.8555555555555555,0.54,0.19028340080971656,0.29012345679012347
2013-02-05,0.09090909090909091,0.025539160045402954,0.375,0.7216117216117216,0.11585365853658537,0.9844176081028438,0.0,0.10263072426112374,0.16666666666666666,0.8400000000000001,0.18825910931174086,0.294238683127572
2013-02-06,0.09090909090909091,0.011918274687854712,0.515625,0.6971916971916972,0.10670731707317076,0.9815932995714843,0.4233576642335767,0.3036700227346541,0.17777777777777778,0.7400000000000001,0.19028340080971656,0.27572016460905346
2013-02-07,0.09090909090909091,0.0,0.859375,0.3003663003663004,0.01219512195121952,0.9883132060771329,0.7153284671532848,0.4426761935693407,0.0,0.13,0.18421052631578944,0.07818930041152264
2013-02-08,0.09090909090909091,0.0,0.421875,0.26129426129426125,0.009146341463414635,0.9945461628359955,0.6788321167883213,0.41734329327703795,0.0,0.16000000000000003,0.16396761133603235,0.0699588477366255
2013-02-09,0.09090909090909091,0.0,0.28125,0.45909645909645913,0.03963414634146342,0.9908453447604207,0.6496350364963505,0.3978564468983436,0.0,0.36000000000000004,0.15789473684210525,0.15843621399176955
2013-02-10,0.09090909090909091,0.006810442678774121,0.453125,0.4725274725274725,0.05792682926829269,0.9894818854694196,0.6277372262773723,0.37739525820071446,0.13333333333333333,0.35000000000000003,0.1740890688259109,0.22427983539094648
2013-02-11,0.09090909090909091,0.0,0.328125,0.2918192918192918,0.02743902439024391,0.993961823139852,0.708029197080292,0.4426761935693407,0.0,0.26,0.15789473684210525,0.18724279835390945
2013-02-12,0.09090909090909091,0.0,0.359375,0.46031746031746035,0.05792682926829269,0.9887027658745619,0.014598540145985404,0.18772328678142255,0.0,0.8,0.16396761133603235,0.22839506172839508
2013-02-13,0.09090909090909091,0.0,0.3125,0.5091575091575091,0.07621951219512196,0.9902610050642774,0.6788321167883213,0.4225397856446898,0.0,0.33,0.17004048582995948,0.27983539094650206
2013-02-14,0.09090909090909091,0.0,0.359375,0.5152625152625153,0.0975609756097561,0.9875340864822751,0.54014598540146,0.3673270542383891,0.0,0.6000000000000001,0.18016194331983804,0.3292181069958848
2013-02-15,0.09090909090909091,0.0,0.609375,0.3724053724053724,0.06402439024390244,0.9866575769380601,0.708029197080292,0.46606040922377395,0.0,0.21000000000000002,0.19028340080971656,0.28189300411522633
2013-02-16,0.09090909090909091,0.0,0.328125,0.25518925518925517,0.03658536585365854,0.9903583950136347,0.7007299270072993,0.4514452744397532,0.0,0.2,0.15789473684210525,0.25308641975308643
